date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:26:45	210/210	---MCZ	200	added ('OK')	text/plain	etag:W/%2259259d65-1b0%22	https://www.bestessays.com/robots.txt		(from )
23:26:46	150619/150619	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jun%202019%2006:26:45%20GMT	https://www.bestessays.com/	E:/Httrack/essays/essays/www.bestessays.com/index.html	(from )
23:26:47	565/565	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a572bc0-235%22	https://www.bestessays.com/res_v1560415138/js/js-error-log.js	E:/Httrack/essays/essays/www.bestessays.com/res_v1560415138/js/js-error-log.js	(from https://www.bestessays.com/)
23:26:48	1254/1254	---MCZ	200	added ('OK')	application/json	etag:W/%225c3e1798-4e6%22	https://www.bestessays.com/manifest.json	E:/Httrack/essays/essays/www.bestessays.com/manifest.json	(from https://www.bestessays.com/)
23:26:49	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2014%20Jun%202019%2006:26:49%20GMT	https://www.googletagmanager.com/gtm.js?id=	E:/Httrack/essays/essays/www.googletagmanager.com/gtm.25445.delayed	(from https://www.bestessays.com/)
23:26:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Jun%202019%2006:26:49%20GMT	http://cdn.onesignal.com/sdks/OneSignalSDK.js	E:/Httrack/essays/essays/cdn.onesignal.com/sdks/OneSignalSDK.3.delayed	(from https://www.bestessays.com/)
23:26:50	17511/17511	---MCZ	200	added ('OK')	application/javascript	etag:W/%223df5ded423fffb95f7e133fe610e0223%22	https://cdn.onesignal.com/sdks/OneSignalSDK.js	E:/Httrack/essays/essays/cdn.onesignal.com/sdks/OneSignalSDK.js	(from https://www.bestessays.com/)
23:26:51	118/118	---M--	200	added ('OK')	image/png	etag:%2259898dd2-76%22	https://www.bestessays.com/images/adaptive/remember_me.png	E:/Httrack/essays/essays/www.bestessays.com/images/adaptive/remember_me.png	(from https://www.bestessays.com/)
23:26:52	221/221	---M--	200	added ('OK')	image/png	etag:%225bb4cf43-dd%22	https://www.bestessays.com/images/adaptive/remember_me_checked.png	E:/Httrack/essays/essays/www.bestessays.com/images/adaptive/remember_me_checked.png	(from https://www.bestessays.com/)
23:26:54	26447/26447	---M--	200	added ('OK')	image/png	etag:%225bb4cf43-674f%22	https://www.bestessays.com/images/adaptive/sprite_main.png	E:/Httrack/essays/essays/www.bestessays.com/images/adaptive/sprite_main.png	(from https://www.bestessays.com/)
23:26:55	18311/18311	---M--	200	added ('OK')	image/gif	etag:%2257ac47e0-4787%22	https://www.bestessays.com/images/img-home/icons/form/loadingAzul.gif	E:/Httrack/essays/essays/www.bestessays.com/images/img-home/icons/form/loadingAzul.gif	(from https://www.bestessays.com/)
23:26:56	290/290	---M--	200	added ('OK')	image/svg+xml	etag:%225829d647-122%22	https://www.bestessays.com/images/img-home/icons/our_team/arrow.svg	E:/Httrack/essays/essays/www.bestessays.com/images/img-home/icons/our_team/arrow.svg	(from https://www.bestessays.com/)
23:26:58	11662/11662	---MCZ	200	added ('OK')	text/css	etag:W/%2257f3e3b0-2d8e%22	https://www.bestessays.com/res_v1560415138/css/subscribe/sweet-alert.css	E:/Httrack/essays/essays/www.bestessays.com/res_v1560415138/css/subscribe/sweet-alert.css	(from https://www.bestessays.com/)
23:27:01	94840/94840	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	E:/Httrack/essays/essays/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from https://www.bestessays.com/)
23:27:02	9517/9517	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c8bdb0d-252d%22	https://www.bestessays.com/res_v1560415138/js/subscribe/popup.js	E:/Httrack/essays/essays/www.bestessays.com/res_v1560415138/js/subscribe/popup.js	(from https://www.bestessays.com/)
23:27:03	11550/11550	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257f3e3b0-2d1e%22	https://www.bestessays.com/res_v1560415138/js/subscribe/sweet-alert.min.js	E:/Httrack/essays/essays/www.bestessays.com/res_v1560415138/js/subscribe/sweet-alert.min.js	(from https://www.bestessays.com/)
